,job_id,skills
494,J99,Jenkins
495,J99,Kafka
496,J99,Spark
497,J99,Unix
498,J100,Sales
499,J100,Business Development
500,J100,Direct Sales
501,J100,Corporate Sales
502,J100,International Sales
503,J101,Java
504,J101,Microservices
505,J101,Spring Boot
506,J101,Architecture
507,J101,AWS
508,J102,CI - CD
509,J102,Jenkins
510,J102,AWS
511,J102,Python
512,J102,Java
513,J103,.NET
514,J103,LINQ
515,J103,Git
516,J104,Kubernetes
517,J105,C++
518,J105,InDesign
519,J106,Machine Learning
520,J106,NLP
521,J106,Python
522,J106,Data Analysis
523,J106,SQL
524,J107,Sales
525,J107,Business Development
526,J108,Python
527,J108,Django
528,J108,Flask
529,J109,Python
530,J109,Django
531,J109,Flask
532,J110,JavaScript
533,J110,React Native
534,J110,React.js
535,J111,Angular
536,J111,HTML
537,J111,CSS
538,J111,JavaScript
539,J112,PHP
540,J112,Wordpress
541,J112,HTML
542,J112,jQuery
543,J112,Jira
544,J113,SAP FICO
545,J113,IDOC
546,J113,SAP HANA
547,J113,SAP Fiori
548,J114,Product Management
549,J114,Project Management
550,J114,Enterprise Software
551,J114,Consumer Software
552,J114,PMP
553,J115,Python
554,J115,Data Structures
555,J115,Algorithms
556,J116,Java
557,J116,SQL
558,J116,Data Structures
559,J116,NoSQL
560,J116,Microservices
561,J117,Python
562,J117,Django
563,J117,Flask
564,J117,Data Structures
565,J117,AWS
566,J118,Python
567,J118,Machine Learning
568,J118,AWS
569,J118,NLP
570,J118,Data Analysis
571,J119,Machine Learning
572,J119,Google Cloud
573,J119,BigQuery
574,J119,Python
575,J119,MLOps
576,J120,Python
577,J120,SQL
578,J121,Sales
579,J121,Direct Sales
580,J121,Customer Relationship
581,J121,Customer Service
582,J121,Corporate Sales
583,J122,Sales
584,J122,Business Development
585,J122,Direct Sales
586,J122,Customer Interaction
587,J122,Customer Service
588,J123,.NET
589,J123,ASP.NET
590,J123,C#
591,J123,SQL Server
592,J124,JavaScript
593,J124,React.js
594,J124,Node.js
595,J124,Angular
596,J125,.NET
597,J125,SQL Server
598,J125,jQuery
599,J125,C#
600,J125,Agile
601,J126,SEO
602,J126,SEM
603,J126,SEMrush
604,J126,Jira
605,J126,Social Media Marketing
606,J127,Education Counselling
607,J127,Sales
608,J128,Product Management
609,J128,Fraud Management
610,J128,Agile
611,J128,Order Fulfillment
612,J128,Loyalty Programs
613,J129,GST
614,J129,TDS
615,J129,Tally
616,J129,Banking Operations
617,J129,Microsoft Excel
618,J130,Business Development
619,J130,Marketing
620,J130,Customer Interaction
621,J130,Sales Operations
622,J130,Microsoft Excel
623,J131,Java
624,J131,React.js
625,J131,AWS
626,J131,Spring Boot
627,J131,Microservices
628,J132,Machine Learning
629,J132,Neural Networks
630,J132,Python
631,J132,Linear Regression
632,J132,Predictive Modelling
633,J133,Machine Learning
634,J133,Python
635,J133,NLP
636,J133,Statistics
637,J133,Data Mining
638,J134,Playwright
639,J134,Automation Testing
640,J134,Python
641,J134,JavaScript
642,J134,Quality Assurance
643,J135,Motion Graphics
644,J135,Visual Design
645,J135,Visual Effects
646,J135,Cinema 4D
647,J135,Final Cut Pro
648,J136,Salesforce
649,J136,Apex
650,J136,Visualforce
651,J136,Salesforce Data Loader
652,J137,SQL
653,J137,Java
654,J137,Python
655,J137,C#
656,J137,R
657,J138,Java
658,J138,Spring
659,J139,DevOps
660,J139,AWS
661,J139,Cloud Computing
662,J139,Kubernetes
663,J139,Deployment
664,J140,Deployment
665,J140,DevOps
666,J140,AWS
667,J140,Kubernetes
668,J140,Cloud Computing
669,J141,.NET
670,J141,JavaScript
671,J141,jQuery
672,J141,React.js
673,J141,C#
674,J142,Java
675,J142,MariaDB
676,J142,Spring Boot
677,J142,J2EE
678,J142,MySQL
679,J143,Customer Interaction
680,J143,Engineering Management
681,J143,HTML
682,J143,CSS
683,J144,Sales
684,J144,Business Development
685,J145,Java
686,J145,Spring
687,J145,Microservices
688,J145,AWS
689,J145,AWS Lambda
690,J146,React.js
691,J146,Angular
692,J147,Digital Marketing
693,J147,Social Media Marketing
694,J147,Content Marketing
695,J147,Marketing
696,J148,Business Development
697,J148,Counselling
698,J148,Education Counselling
699,J148,International Sales
700,J148,Sales
701,J149,Sales
702,J149,Travel Planning
703,J149,Telecalling
704,J149,Business Development
705,J149,Travel Management
706,J150,React Native
707,J150,React.js
708,J150,JavaScript
709,J150,HTML
710,J150,CSS
711,J151,JavaScript
712,J151,Playwright
713,J151,Automation Testing
714,J151,Python
715,J152,Java
716,J152,Angular
717,J152,Hibernate
718,J152,TypeScript
719,J152,JavaScript
720,J153,React.js
721,J153,Node.js
722,J153,Angular
723,J153,Python
724,J153,SQL
725,J154,Machine Learning
726,J154,NLP
727,J154,Data Collection
728,J155,Python
729,J155,Java
730,J155,JavaScript
731,J155,Node.js
732,J155,React.js
733,J156,Angular
734,J156,JavaScript
735,J156,Git
736,J156,HTML
737,J156,CSS
738,J157,React.js
739,J157,Spring Boot
740,J157,Microservices
741,J157,Java
742,J157,SQL
743,J158,React Native
744,J158,JavaScript
745,J158,React.js
746,J158,Android
747,J158,iOS
748,J159,React Native
749,J159,React.js
750,J159,JavaScript
751,J159,Android
752,J159,iOS
753,J160,React Native
754,J160,React.js
755,J160,JavaScript
756,J160,HTML
757,J160,CSS
758,J161,Oracle HCM
759,J161,Technical Consulting
760,J161,Functional Consulting
761,J161,Payroll Management
762,J161,HR Operations
763,J162,Java
764,J162,Spring
765,J162,MongoDB
766,J162,Python
767,J162,Golang
768,J163,Power BI
769,J163,SQL
770,J163,MSBI
771,J163,SSIS
772,J163,DAX
773,J164,C++
774,J164,GUI
775,J164,Qt
776,J164,QML
777,J165,Java
778,J165,Spring Boot
779,J165,AWS
780,J165,Microservices
781,J165,Kafka
782,J166,Corporate Sales
783,J166,NBFC
784,J166,Lead Generation
785,J166,Business Development
786,J166,Key Account Management
787,J167,ServiceNow
788,J167,ITSM
789,J168,Oracle Fusion Applications
790,J168,Oracle Financials
791,J168,Oracle Cloud
792,J168,Oracle Agile PLM
793,J168,Coupa
794,J169,Java
795,J169,Kotlin
796,J169,Android
797,J169,MVP
798,J169,Architecture
799,J170,iOS
800,J170,Objective-C
801,J170,Architecture
802,J170,Swift
803,J170,MVP
804,J171,ETL
805,J171,AWS
806,J171,PostgreSQL
807,J171,Python
808,J171,SQL
809,J172,Linux
810,J172,Unix
811,J172,Windows
812,J172,AWS
813,J172,Google Cloud
814,J173,Django
815,J173,Flask
816,J173,Python
817,J174,Python
818,J174,Node.js
819,J174,CI - CD
820,J174,AWS
821,J174,Azure
822,J175,Product Management
823,J175,Payment Processing
824,J175,Business Analysis
825,J175,Product Lifecycle Management
826,J175,Product Marketing
827,J176,Angular
828,J176,Java
829,J176,Spring Boot
830,J176,SQL
831,J176,Spring
832,J177,IT Support
833,J177,LAN
834,J177,DHCP
835,J177,Active Directory
836,J178,Salesforce
837,J178,Visualforce
838,J179,ServiceNow
839,J179,Workflow Management
840,J180,Python
841,J180,ETL
842,J180,Data Analysis
843,J181,Product Management
844,J181,Product Lifecycle Management
845,J181,Finacle
846,J181,Payment Solutions
847,J181,Credit Evaluation
848,J182,DevOps
849,J182,Python
850,J183,UX Design
851,J183,JavaScript
852,J183,React.js
853,J183,Progressive Web Apps
854,J183,HTML
855,J184,Salesforce
856,J184,Apex
857,J184,Lightning
858,J184,Visualforce
859,J185,Python
